param:  BDCs:    g   p:=
        Cankaya_FBC 100000 500
        Yenimahalle_FBC 100000 500
        Altindag_MBC 360000 900
        Cankaya_MBC 360000 800
        Etimesgut_MBC 360000 110
        Golbasi_MBC 360000 400
        Kecioren_MBC 360000 1400
        Mamak_MBC 360000 700
        Polatli_MBC 360000 100
        Pursaklar_MBC 360000 100
        Sincan_MBC 360000 700
        Yenimahalle_MBC 360000 2000 ;

param:  Hospitals: e   b    h:=
        1 5 10 5000
        2 6 12 6000
        3 7 14 7500
        4 8 16 15000
        5 6 12 3000
        6 10 20 4000
        7 10 20 25000
        8 12 24 7000
        9 10 20 40000
        10 12 24 27000
        11 20 40 8000
        12 15 30 18000
        13 15 30 4000
        14 25 50 4000
        15 35 70 4000
        16 40 80 6000
        17 30 60 12000 ;

set Nodes := 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
Cankaya_FBC
Yenimahalle_FBC
Altindag_MBC
Cankaya_MBC
Etimesgut_MBC
Golbasi_MBC
Kecioren_MBC
Mamak_MBC
Polatli_MBC
Pursaklar_MBC
Sincan_MBC
Yenimahalle_MBC ;


param u := 500 ;
param D := 5 ;
param Q := 100 ;
param s := 17 ;


param tn_n :   
                1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  Cankaya_FBC  Yenimahalle_FBC  Altindag_MBC  Cankaya_MBC  Etimesgut_MBC  Golbasi_MBC  Kecioren_MBC  Mamak_MBC  Polatli_MBC  Pursaklar_MBC  Sincan_MBC  Yenimahalle_MBC :=
1             0   15  20  12  25  30  18  22  40  35  28  33  50  45  38  42  55      10              18              25            8             30            35           20           28          60             32           40              15
2            15    0  18  20  22  28  25  30  35  40  33  38  45  50  42  48  52      18               0              30           15             25            40           22           35          50             38           45              10
3            20   18    0  15  30  25  22  28  45  38  35  40  55  60  50  55  65      25              30               0           20             35            30           25           40          70             45           50              28
4            12   20   15    0  18  22  25  30  38  42  33  35  48  52  45  50  58      8              15              20            0             22            25           18           30          55             28           35              12
5            25   22   30  18    0  15  20  25  50  45  40  42  60  65  55  60  70      30              25              35           22              0            18           15           28          75             40           45              20
6            30   28   25  22   15    0  12  18  55  50  45  48  65  70  60  65  75      35              40              30           25             18             0           10           22          80             45           50              35
7            18   25   22  25   20   12    0  15  42  45  38  40  58  62  52  58  68      20              22              25           18             15            10            0           18          65             35           42              18
8            22   30   28  30   25   18   15    0  48  50  42  45  62  68  55  60  72      28              35              40           30             28            22           18            0          70             40           48              30
9            40   35   45  38   50   55   42   48    0  20  25  30  35  40  45  50  60      60              50              70           55             75            80           65           70           0             55           65              45
10           35   40   38  42   45   50   45   50   20    0  18  22  30  35  40  45  55      32              38              45           28             40            45           35           40          55              0           30              35
11           28   33   35  33   40   45   38   42   25   18    0  15  25  30  35  40  50      40              45              50           35             45            50           42           48          65             30            0              40
12           33   38   40  35   42   48   40   45   30   22   15    0  20  25  30  35  45      15              10              28           12             20            35           18           30          45             35           25               0
13           50   45   55  48   60   65   58   62   35   30   25   20    0  15  20  25  35      50              45              60           48             60            65           58           62          35             30           20              45
14           45   50   60  52   65   70   62   68   40   35   30   25   15    0  12  18  30      45              50              65           52             65            70           62           68          40             35           25              50
15           38   42   50  45   55   60   52   55   45   40   35   30   20   12    0  10  25      38              42              55           45             55            60           52           55          45             40           35              42
16           42   48   55  50   60   65   58   60   50   45   40   35   25   18   10    0  20      42              48              60           50             60            65           58           60          50             45           40              48
17           55   52   65  58   70   75   68   72   60   55   50   45   35   30   25   20    0      55              52              70           58             70            75           68           72          60             55           50              52
Cankaya_FBC 10   18   25   8   30   35   20   28   60   32   40   15   50   45   38   42   55       0              15              20           10             25            30           18           25          50             30           35              12
Yenimahalle_FBC 18    0   30  15   25   40   22   35   50   38   45   10   45   50   42   48   52      15               0              25           12             20            35           15           30          45             35           40               8
Altindag_MBC 25   30    0  20   35   30   25   40   70   45   50   28   60   65   55   60   70      20              25               0           15             30            25           20           35          60             40           45              22
Cankaya_MBC  8   15   20    0   22   25   18   30   55   28   35   12   48   52   45   50   58      10              12              15            0             20            22           15           25          50             25           30              10
Etimesgut_MBC 30   25   35  22    0   18   15   28   75   40   45   20   60   65   55   60   70      25              20              30           20              0            15           10           22          60             35           40              18
Golbasi_MBC 35   40   30  25   18    0   10   22   80   45   50   35   65   70   60   65   75      30              35              25           22             15             0            8           18          65             40           45              30
Kecioren_MBC 20   22   25  18   15   10    0   18   65   35   42   18   58   62   52   58   68      18              15              20           15             10             8            0           15          55             30           35              12
Mamak_MBC   28   35   40  30   28   22   18    0   70   40   48   30   62   68   55   60   72      25              30              35           25             22            18           15            0          60             35           42              25
Polatli_MBC 60   50   70  55   75   80   65   70    0   55   65   45   35   40   45   50   60      50              45              60           50             60            65           55           60           0             50           60              40
Pursaklar_MBC 32   38   45  28   40   45   35   40   55    0   30   35   30   35   40   45   55      30              35              40           25             35            40           30           35          50              0           25              32
Sincan_MBC  40   45   50  35   45   50   42   48   65   30    0   25   20   25   35   40   50      35              40              45           30             40            45           35           42          60             25            0              38
Yenimahalle_MBC 15   10   28  12   20   35   18   30   45   35   40    0   45   50   42   48   52      12               8              22           10             18            30           12           25          40             32           38               0 ;
